query,num_centroids,searched_shard_ids,num_searched_shards,gpu_transfer_time,gpu_search_time,warmup_time,best_retrieved_ids,top_doc_shards
0,1,[2],1,0.34527909697499126,0.024671479943208396,4.573807083070278,"[15012644, 15112644, 15412644, 15512644, 15912644, 15812644, 15712644, 15612644, 15212644, 15312644]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
1,1,[10],1,0.3532285540131852,0.14524354005698115,7.439523016510066,"[15663696, 15763696, 15263696, 15363696, 15463696, 15563696, 15063696, 15163696, 15863696, 15963696]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
2,1,[23],1,0.3421348840929568,0.017596475081518292,6.029646631970536,"[15077832, 15177832, 15477832, 15577832, 15977832, 15877832, 15777832, 15677832, 15277832, 15377832]","[23, 23, 23, 23, 23, 23, 23, 23, 23, 23]"
3,1,[7],1,0.3607251800131053,0.01760941103566438,5.919907134026289,"[15246517, 15346517, 15446517, 15546517, 15646517, 15746517, 15846517, 15946517, 15146517, 15046517]","[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]"
4,1,[20],1,0.34126753895543516,0.013751935912296176,6.415005355549511,"[15635155, 15735155, 15435155, 15535155, 15335155, 15235155, 15035155, 15135155, 15835155, 15935155]","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
5,1,[14],1,0.3818025039508939,0.017717014998197556,9.829985045536887,"[15103137, 15003137, 15703137, 15603137, 15503137, 15403137, 15903137, 15803137, 15303137, 15203137]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
6,1,[11],1,0.3584789950400591,0.017665450111962855,5.716336060548201,"[15180316, 15080316, 15780316, 15680316, 15580316, 15480316, 15980316, 15880316, 15380316, 15280316]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
7,1,[23],1,1.2126520710298792,0.14562474004924297,6.029646631970536,"[15175428, 15075428, 15775428, 15675428, 15575428, 15475428, 15975428, 15875428, 15375428, 15275428]","[23, 23, 23, 23, 23, 23, 23, 23, 23, 23]"
8,1,[20],1,0.8238021150464192,0.017612465075217187,6.415005355549511,"[15103176, 15003176, 15703176, 15603176, 15503176, 15403176, 15903176, 15803176, 15303176, 15203176]","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
9,1,[21],1,0.4825059009017423,0.018985125003382564,6.906837242015172,"[15175958, 15075958, 15775958, 15675958, 15575958, 15475958, 15975958, 15875958, 15375958, 15275958]","[21, 21, 21, 21, 21, 21, 21, 21, 21, 21]"
10,1,[15],1,0.3630378219531849,0.017256762948818505,7.003227237437386,"[15184852, 15084852, 15784852, 15684852, 15584852, 15484852, 15984852, 15884852, 15384852, 15284852]","[15, 15, 15, 15, 15, 15, 15, 15, 15, 15]"
11,1,[2],1,0.3431250969879329,0.02251753199379891,4.573807083070278,"[15167388, 15067388, 15767388, 15667388, 15567388, 15467388, 15967388, 15867388, 15367388, 15267388]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
12,1,[14],1,0.37670393101871014,0.01744389394298196,9.829985045536887,"[15195263, 15095263, 15795263, 15695263, 15595263, 15495263, 15995263, 15895263, 15395263, 15295263]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
13,1,[23],1,0.3416514580603689,0.017457092995755374,6.029646631970536,"[15110265, 15010265, 15710265, 15610265, 15510265, 15410265, 15910265, 15810265, 15310265, 15210265]","[23, 23, 23, 23, 23, 23, 23, 23, 23, 23]"
14,1,[23],1,0.3416363529395312,0.01753390207886696,6.029646631970536,"[15125844, 15025844, 15725844, 15625844, 15525844, 15425844, 15925844, 15825844, 15325844, 15225844]","[23, 23, 23, 23, 23, 23, 23, 23, 23, 23]"
15,1,[15],1,0.3633875329978764,0.01751708798110485,7.003227237437386,"[15107630, 15007630, 15207630, 15307630, 15507630, 15407630, 15907630, 15807630, 15707630, 15607630]","[15, 15, 15, 15, 15, 15, 15, 15, 15, 15]"
