query,num_centroids,searched_shard_ids,num_searched_shards,gpu_transfer_time,gpu_search_time,warmup_time,best_retrieved_ids,top_doc_shards
0,16,"[1, 6, 16, 20, 21]",5,0.3254311899654567,0.10110522666946054,1.4800972811412065,"[22367475, 350323743, 350285757, 22359499, 22352964, 596090569, 583617007, 40490076, 596064850, 347651857]","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
1,16,"[5, 6, 16, 23]",4,0.29790826281532645,0.0660119247622788,1.7890454432344995,"[598688458, 96761309, 317778513, 462536204, 128100141, 512290626, 467725477, 80310487, 544732844, 41433574]","[23, 23, 23, 5, 5, 5, 5, 5, 5, 5]"
2,16,"[6, 14, 19, 20, 21]",5,0.2868964932858944,0.11219837190583348,1.371479077031836,"[97139517, 294043795, 8432815, 184706508, 522340063, 184228786, 58511679, 284206801, 284206802, 574610836]","[19, 19, 21, 20, 21, 21, 21, 21, 19, 14]"
3,16,"[11, 14]",2,0.163134285248816,0.03753491258248687,2.0368539543123916,"[319976312, 473871456, 416180093, 533106488, 185862896, 409812650, 534845823, 493543761, 3563663, 545925259]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
4,16,"[8, 19, 21, 23]",4,0.18146343575790524,0.05764071410521865,1.0876957639702596,"[492485126, 241046875, 74580447, 364526066, 196412165, 197645372, 197750504, 555283757, 11876884, 251314455]","[19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
5,16,"[5, 6, 14, 15, 20, 21, 23]",7,0.6045474158599973,0.12128216493874788,1.9235028283271407,"[516745818, 379513051, 379513049, 40647836, 147282989, 98341154, 98187521, 98187524, 268589670, 500339455]","[6, 20, 6, 20, 6, 20, 6, 20, 20, 15]"
6,16,"[8, 17]",2,0.11553333420306444,0.030830110888928175,1.4215755820041522,"[223359640, 306289225, 134921891, 473056010, 172489898, 163594463, 184462764, 578112746, 538022211, 98659306]","[17, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
7,16,"[2, 9, 16, 17, 24]",5,0.4072518674656749,0.08496443787589669,1.857972258515656,"[422770906, 67019337, 159171799, 412000426, 66952640, 534620895, 63753766, 152048176, 311568376, 272006514]","[17, 16, 17, 24, 16, 17, 16, 9, 2, 9]"
8,16,"[4, 6, 14, 23]",4,0.354911083355546,0.0714027383364737,1.9087970345281065,"[327654649, 459540312, 67520733, 575997322, 180283059, 562193291, 305388418, 41178123, 30515188, 339438330]","[23, 23, 23, 23, 23, 23, 23, 23, 23, 23]"
9,16,"[1, 4, 6, 13, 14, 19]",6,0.5354164973832667,0.11537451902404428,1.6428074247669429,"[244047149, 407497946, 372337157, 244049389, 244048645, 372313030, 99048836, 406973178, 237900005, 99090315]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
10,16,"[4, 5, 6, 15, 23]",5,0.5413110232912004,0.1439403616823256,2.5126704653725027,"[162571401, 582265968, 156350339, 596989224, 156842470, 177718168, 162631938, 301410691, 162631950, 361359114]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
11,16,"[16, 19]",2,0.15748385526239872,0.031367842108011246,1.6844580495962873,"[316195675, 347961149, 425646496, 127689114, 316205222, 335612984, 316205221, 505439277, 402151260, 575814845]","[16, 16, 16, 16, 16, 16, 16, 16, 16, 16]"
12,16,"[3, 8, 15, 17, 19, 21]",6,0.5063985204324126,0.1098646349273622,1.8216603974578902,"[143285814, 398227840, 520909276, 150775094, 533066813, 416989615, 559059925, 478916319, 583463400, 255704802]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
13,16,"[14, 16, 19]",3,0.21572280954569578,0.05225300556048751,1.7792243485649426,"[269953808, 270017264, 53616989, 219464520, 269932498, 264374402, 21302424, 107532941, 53616990, 439849310]","[14, 14, 14, 14, 14, 19, 14, 14, 14, 14]"
14,16,"[1, 14]",2,0.13138230983167887,0.10028608562424779,1.4405104346806183,"[2930195, 304291211, 5479281, 298156409, 435890273, 300724316, 214405047, 231200670, 504375842, 531276114]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
15,16,[12],1,0.05761844106018543,0.016854486893862486,1.0251711350865662,"[540834996, 425755668, 346415404, 400155932, 347682406, 548796299, 583527657, 236059986, 540791896, 318230608]","[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]"
16,16,"[18, 20]",2,0.10116612305864692,0.025414916221052408,1.1839226317824796,"[388372331, 477914499, 94283698, 313295416, 417756224, 81047150, 413998749, 287698740, 388567738, 84783145]","[18, 18, 18, 18, 18, 18, 18, 18, 18, 18]"
17,16,"[5, 6]",2,0.1723151309415698,0.03817395679652691,2.03853119793348,"[196567304, 37592602, 529191060, 119007154, 136475651, 138777038, 519952557, 596950633, 125572012, 119958834]","[5, 5, 5, 6, 5, 5, 5, 5, 5, 5]"
18,16,"[3, 7, 11, 14, 18, 20, 23]",7,0.37911491887643933,0.16708850860595703,1.2644468150434218,"[265372681, 560067270, 278479542, 395074565, 251637110, 211326331, 34614699, 174444878, 587245452, 34620824]","[11, 3, 3, 3, 3, 11, 3, 3, 3, 3]"
19,16,"[2, 8, 14, 18, 19, 21]",6,0.3966138232499361,0.09964608261361718,1.385170561183865,"[596197374, 227781415, 342147203, 223745933, 36042600, 441232341, 281954983, 9720048, 543565046, 576495810]","[21, 21, 21, 14, 8, 21, 21, 14, 18, 8]"
20,16,"[1, 4, 12]",3,0.3057556892745197,0.05866020731627941,1.5551406948361546,"[248237919, 53457392, 161684376, 495988709, 529213090, 565144556, 340338888, 56535161, 369015536, 336166371]","[12, 4, 12, 12, 1, 12, 1, 12, 1, 12]"
21,16,"[5, 6, 15, 20, 23]",5,0.40796434646472335,0.08269079588353634,2.0944999765604733,"[386500007, 553675511, 151614128, 342086583, 475316064, 432094449, 397264316, 515335694, 418459871, 35737299]","[23, 5, 5, 5, 5, 5, 5, 23, 23, 5]"
22,16,"[14, 21]",2,0.11946013662964106,0.08319175941869617,1.4960099577438086,"[379643780, 554217595, 296777012, 132324921, 212577525, 402167117, 327957272, 479960759, 244250010, 189421384]","[21, 21, 21, 21, 21, 21, 21, 21, 21, 21]"
23,16,"[9, 12, 14]",3,0.19565438758581877,0.044195171911269426,1.487338719734301,"[393766925, 19968356, 99327655, 596615355, 352440645, 554747697, 304593819, 438096438, 583417332, 116967304]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
24,16,"[5, 7, 23]",3,0.13028355082497,0.03984551737084985,1.0425378147047013,"[438347522, 474967492, 524160961, 37716934, 191429128, 392904598, 166583047, 139290262, 131316433, 555671028]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
25,16,"[5, 7, 14, 15, 21, 23]",6,0.4986686217598617,0.09502925956621766,1.8805111597757787,"[275996305, 574080995, 39550384, 575850420, 422125669, 194468745, 345012085, 268603873, 39822135, 476136084]","[5, 5, 5, 5, 5, 23, 5, 5, 5, 5]"
26,16,"[4, 5, 12, 14, 15, 20, 21, 22]",8,0.6887006093747914,0.17287599621340632,2.01560198207153,"[9260592, 255137588, 171602438, 53821041, 128351388, 418888803, 439693144, 40935707, 350535457, 75050458]","[21, 12, 5, 5, 21, 21, 5, 5, 12, 12]"
27,16,"[2, 8, 9, 19]",4,0.2431275905109942,0.06633899733424187,1.264095212041866,"[342833232, 239066460, 76823179, 364949379, 464209192, 173230971, 452350578, 406818359, 192881082, 593894113]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
28,16,"[0, 1, 4, 9, 12, 14, 22]",7,0.5989834098145366,0.11953776981681585,1.6242221160791814,"[580293607, 436703496, 195995390, 486542584, 410907401, 214907984, 61133533, 194090070, 245111306, 3363907]","[12, 12, 12, 12, 0, 12, 0, 1, 1, 4]"
29,16,"[2, 8, 17, 19, 23]",5,0.22982201864942908,0.07067073369398713,1.0356656971853226,"[176037102, 164759875, 281743200, 220058368, 571201178, 207043861, 344036839, 544604186, 185069916, 249249826]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
30,16,"[0, 1, 5, 7, 15, 16, 17, 19, 23]",9,0.7252281880937517,0.21146989101544023,1.6654554574957325,"[201111705, 86527089, 112700980, 514685550, 588877957, 237860493, 495877099, 237959841, 81345349, 174822083]","[5, 23, 23, 5, 23, 5, 5, 5, 5, 23]"
31,16,"[4, 13, 14, 16, 24]",5,0.48488173075020313,0.09996118815615773,2.3374609109014273,"[154718683, 79169640, 263282819, 381006524, 365713645, 115921841, 424881179, 247154773, 365725693, 193328218]","[13, 13, 13, 13, 24, 13, 13, 24, 24, 24]"
32,16,"[8, 15, 17]",3,0.2964108712039888,0.0787289822474122,2.668861587687085,"[94973826, 305101499, 598687402, 266557487, 275034196, 49713139, 138602395, 390525573, 483823371, 27436766]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
