query,num_centroids,searched_shard_ids,num_searched_shards,gpu_transfer_time,gpu_search_time,warmup_time,best_retrieved_ids,top_doc_shards
0,5,"[1, 2]",2,0.1294043678790331,0.027899608947336674,1.5723591494606808,"[350323743, 22367475, 350285757, 22359499, 22352964, 583617007, 596090569, 40490076, 347651857, 596064850]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1,5,"[6, 7]",2,0.2904555294662714,0.04893224500119686,3.469508559559472,"[96761309, 317778513, 462536204, 128100141, 512290626, 544732844, 467725477, 80310487, 336524624, 106752731]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
2,5,"[2, 4, 9, 10]",4,0.2158225355669856,0.056700213346630335,1.3137093615951017,"[97139517, 294043795, 8432815, 522340063, 184228786, 284206801, 58511679, 284206802, 574610836, 357388844]","[4, 10, 10, 4, 9, 9, 10, 10, 4, 10]"
3,5,[18],1,0.08162134559825063,0.019852245692163706,2.0212896917946637,"[319976312, 473871456, 416180093, 533106488, 185862896, 409812650, 534845823, 3563663, 545925259, 232092470]","[18, 18, 18, 18, 18, 18, 18, 18, 18, 18]"
4,5,"[9, 10]",2,0.09184849355369806,0.03055901313200593,1.1157985985046253,"[492485126, 241046875, 74580447, 364526066, 196412165, 197645372, 197750504, 6680367, 11876884, 251314455]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
5,5,"[3, 6, 7, 9]",4,0.5315451822243631,0.09145293897017837,3.9070363325299695,"[516745818, 379513049, 98187521, 147282989, 500339455, 379513041, 178768696, 186078600, 574719018, 426172710]","[3, 7, 3, 7, 7, 6, 3, 6, 3, 6]"
6,5,[8],1,0.06218340480700135,0.015498788096010685,1.5253760810010135,"[223359640, 306289225, 134921891, 473056010, 163594463, 578112746, 184462764, 538022211, 98659306, 306328842]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
7,5,"[15, 16, 19]",3,0.302400765940547,0.054175914730876684,2.493351690315952,"[422770906, 67019337, 159171799, 412000426, 66952640, 63753766, 534620895, 152048176, 311568376, 368354619]","[19, 15, 19, 15, 15, 15, 15, 16, 19, 15]"
8,5,[1],1,0.04765095794573426,0.013694843742996454,1.1562415396329015,"[327654649, 459540312, 67520733, 575997322, 180283059, 562193291, 305388418, 41178123, 30515188, 339438330]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
9,5,"[1, 3, 10, 18]",4,0.37845748011022806,0.0709394752047956,2.928611054609064,"[244047149, 407497946, 372337157, 244049389, 244048645, 372313030, 99048836, 237900005, 406973178, 191955329]","[18, 18, 18, 10, 18, 10, 18, 10, 18, 18]"
10,5,"[3, 6, 7]",3,0.48318353528156877,0.07835166715085506,4.81207970653971,"[162571401, 582265968, 156350339, 596989224, 177718168, 156842470, 162631938, 162631950, 361359114, 301410691]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
11,5,"[10, 15]",2,0.22628725320100784,0.038340967148542404,2.8415429975138977,"[316195675, 347961149, 246469994, 425646496, 127689114, 316205222, 335612984, 316205221, 505439277, 402151260]","[15, 15, 15, 15, 15, 15, 15, 15, 15, 15]"
12,5,[8],1,0.06263329600915313,0.015555363148450851,1.5253760810010135,"[143285814, 398227840, 150775094, 520909276, 533066813, 416989615, 478916319, 559059925, 583463400, 255704802]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
13,5,"[10, 18]",2,0.12330850306898355,0.033977555111050606,1.5304903391515836,"[269953808, 270017264, 53616989, 219464520, 269932498, 264374402, 21302424, 107532941, 53616990, 439849310]","[10, 10, 10, 18, 10, 10, 10, 10, 10, 10]"
14,5,[18],1,0.08169878600165248,0.019079857971519232,2.0212896917946637,"[2930195, 304291211, 5479281, 298156409, 435890273, 300724316, 214405047, 231200670, 504375842, 531276114]","[18, 18, 18, 18, 18, 18, 18, 18, 18, 18]"
15,5,[0],1,0.06976689398288727,0.016687560826539993,1.7377481411676854,"[540834996, 425755668, 346415404, 400155932, 347682406, 548796299, 583527657, 236059986, 540791896, 318230608]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,5,[2],1,0.08155216136947274,0.01829031901434064,1.98847675928846,"[388372331, 477914499, 94283698, 313295416, 417756224, 81047150, 287698740, 413998749, 388567738, 84783145]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
17,5,"[3, 6]",2,0.28838940989226103,0.04432496102526784,4.7456659459276125,"[196567304, 37592602, 119007154, 529191060, 136475651, 138777038, 596950633, 519952557, 271030616, 297127865]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
