query,index_size,threads,nprobe,batch_size,num_retrieved_docs,avg_query_time,best_retrieved_ids
64,300m,72,256,1,5,2.221120672941208,"[217185418, 84066849, 19059244, 90439601, 263706156]"
65,300m,72,256,1,5,2.221120672941208,"[110024139, 159205176, 51607183, 168995808, 74256381]"
66,300m,72,256,1,5,2.221120672941208,"[70473340, 194244468, 127446584, 236646413, 202536818]"
67,300m,72,256,1,5,2.221120672941208,"[29988430, 89146024, 160685693, 101976635, 29367947]"
68,300m,72,256,1,5,2.221120672941208,"[265582474, 143670194, 22282360, 248190137, 97780755]"
69,300m,72,256,1,5,2.221120672941208,"[299503718, 223881798, 40933157, 32863356, 276175577]"
70,300m,72,256,1,5,2.221120672941208,"[14700988, 243132285, 162408577, 258532458, 87187338]"
71,300m,72,256,1,5,2.221120672941208,"[136021710, 271834051, 44392480, 222781568, 69557017]"
72,300m,72,256,1,5,2.221120672941208,"[168468834, 257401844, 132831639, 205822731, 284582838]"
73,300m,72,256,1,5,2.221120672941208,"[133699417, 225385585, 207428026, 276489832, 236694232]"
74,300m,72,256,1,5,2.221120672941208,"[265396003, 210976861, 43947376, 72428980, 183709613]"
75,300m,72,256,1,5,2.221120672941208,"[155620539, 263452461, 271612684, 17100209, 31811495]"
76,300m,72,256,1,5,2.221120672941208,"[47074484, 251901307, 69810439, 132870687, 67853737]"
77,300m,72,256,1,5,2.221120672941208,"[100806695, 29392618, 288761517, 22580755, 59728990]"
78,300m,72,256,1,5,2.221120672941208,"[256994594, 171772927, 190868400, 258703635, 247783290]"
79,300m,72,256,1,5,2.221120672941208,"[261792617, 66005742, 156198037, 190418808, 145502417]"
80,300m,72,256,1,5,2.221120672941208,"[181721375, 35502141, 89952573, 192160680, 195811642]"
81,300m,72,256,1,5,2.221120672941208,"[84848979, 55342692, 216612568, 20668750, 271669109]"
82,300m,72,256,1,5,2.221120672941208,"[201612617, 165409987, 285544667, 1753283, 6857360]"
83,300m,72,256,1,5,2.221120672941208,"[208290461, 295744348, 27699303, 123093567, 171420093]"
84,300m,72,256,1,5,2.221120672941208,"[110073681, 66118637, 52455224, 24333109, 154669422]"
85,300m,72,256,1,5,2.221120672941208,"[135859681, 61872542, 177270856, 142041489, 162218567]"
86,300m,72,256,1,5,2.221120672941208,"[267826711, 235910197, 6294739, 288272199, 147797489]"
87,300m,72,256,1,5,2.221120672941208,"[66599930, 220173209, 226991267, 127347809, 11847021]"
88,300m,72,256,1,5,2.221120672941208,"[272691094, 18516590, 167407740, 283463728, 292866888]"
89,300m,72,256,1,5,2.221120672941208,"[93028096, 162226153, 112065139, 96753724, 98261118]"
90,300m,72,256,1,5,2.221120672941208,"[131364422, 165739048, 212275851, 18861904, 145132355]"
91,300m,72,256,1,5,2.221120672941208,"[71233195, 15931559, 60055223, 225392258, 263154245]"
92,300m,72,256,1,5,2.221120672941208,"[186913484, 186913483, 96335462, 116054388, 292722037]"
93,300m,72,256,1,5,2.221120672941208,"[160632588, 160632589, 160632606, 160632619, 262304672]"
94,300m,72,256,1,5,2.221120672941208,"[224559782, 59486559, 245470336, 267224959, 135660561]"
