query,index_size,threads,nprobe,batch_size,num_retrieved_docs,avg_query_time
17984,300m,72,256,32,5,2.938233925819397
18016,300m,72,256,32,5,2.938233925819397
18048,300m,72,256,32,5,2.938233925819397
18080,300m,72,256,32,5,2.938233925819397
18112,300m,72,256,32,5,2.938233925819397
18144,300m,72,256,32,5,2.938233925819397
18176,300m,72,256,32,5,2.938233925819397
18208,300m,72,256,32,5,2.938233925819397
18240,300m,72,256,32,5,2.938233925819397
18272,300m,72,256,32,5,2.938233925819397
18304,300m,72,256,32,5,2.938233925819397
18336,300m,72,256,32,5,2.938233925819397
18368,300m,72,256,32,5,2.938233925819397
18400,300m,72,256,32,5,2.938233925819397
18432,300m,72,256,32,5,2.938233925819397
18464,300m,72,256,32,5,2.938233925819397
18496,300m,72,256,32,5,2.938233925819397
18528,300m,72,256,32,5,2.938233925819397
18560,300m,72,256,32,5,2.938233925819397
18592,300m,72,256,32,5,2.938233925819397
18624,300m,72,256,32,5,2.938233925819397
18656,300m,72,256,32,5,2.938233925819397
18688,300m,72,256,32,5,2.938233925819397
18720,300m,72,256,32,5,2.938233925819397
18752,300m,72,256,32,5,2.938233925819397
18784,300m,72,256,32,5,2.938233925819397
18816,300m,72,256,32,5,2.938233925819397
18848,300m,72,256,32,5,2.938233925819397
18880,300m,72,256,32,5,2.938233925819397
18912,300m,72,256,32,5,2.938233925819397
18944,300m,72,256,32,5,2.938233925819397
18976,300m,72,256,32,5,2.938233925819397
19008,300m,72,256,32,5,2.938233925819397
19040,300m,72,256,32,5,2.938233925819397
19072,300m,72,256,32,5,2.938233925819397
19104,300m,72,256,32,5,2.938233925819397
19136,300m,72,256,32,5,2.938233925819397
19168,300m,72,256,32,5,2.938233925819397
19200,300m,72,256,32,5,2.938233925819397
19232,300m,72,256,32,5,2.938233925819397
19264,300m,72,256,32,5,2.938233925819397
19296,300m,72,256,32,5,2.938233925819397
19328,300m,72,256,32,5,2.938233925819397
19360,300m,72,256,32,5,2.938233925819397
19392,300m,72,256,32,5,2.938233925819397
19424,300m,72,256,32,5,2.938233925819397
19456,300m,72,256,32,5,2.938233925819397
19488,300m,72,256,32,5,2.938233925819397
19520,300m,72,256,32,5,2.938233925819397
19552,300m,72,256,32,5,2.938233925819397
19584,300m,72,256,32,5,2.938233925819397
19616,300m,72,256,32,5,2.938233925819397
19648,300m,72,256,32,5,2.938233925819397
19680,300m,72,256,32,5,2.938233925819397
19712,300m,72,256,32,5,2.938233925819397
19744,300m,72,256,32,5,2.938233925819397
19776,300m,72,256,32,5,2.938233925819397
19808,300m,72,256,32,5,2.938233925819397
19840,300m,72,256,32,5,2.938233925819397
19872,300m,72,256,32,5,2.938233925819397
19904,300m,72,256,32,5,2.938233925819397
19936,300m,72,256,32,5,2.938233925819397
19968,300m,72,256,32,5,2.938233925819397
20000,300m,72,256,32,5,2.938233925819397
