query,index_size,threads,nprobe,batch_size,num_retrieved_docs,avg_query_time,best_retrieved_ids
42,600m,72,24494,1,10,188.419127702713,"[521012684, 489342896, 433868714, 16684904, 227461382, 524579792, 141163106, 87635642, 254389701, 48499195]"
43,600m,72,24494,1,10,187.6667935848236,"[276066170, 194928968, 229424584, 187616394, 157719374, 493402860, 422547137, 345153317, 178580027, 598788742]"
44,600m,72,24494,1,10,188.21995544433594,"[19804762, 125079188, 291445081, 544637200, 580321217, 82643689, 19700867, 92491002, 246109782, 511501683]"
45,600m,72,24494,1,10,187.8254942893982,"[403072175, 224653700, 527864603, 88685161, 124237376, 236427025, 262227711, 152566833, 311017817, 108780314]"
46,600m,72,24494,1,10,188.09317350387573,"[321883357, 517409731, 320790454, 253543390, 14436664, 88223668, 286970084, 517409728, 492436548, 467283941]"
47,600m,72,24494,1,10,187.7477788925171,"[54265130, 507222371, 116982774, 330878827, 377447841, 322258847, 402571241, 252057638, 323045826, 240684525]"
48,600m,72,24494,1,10,186.3090386390686,"[349685072, 6137078, 200196231, 506863082, 578538318, 555255276, 193962431, 506885984, 506957619, 359471757]"
49,600m,72,24494,1,10,187.05481100082397,"[90462928, 381989322, 128098396, 585182033, 190554704, 190521044, 420025078, 232912616, 216134252, 117081507]"
50,600m,72,24494,1,10,187.19706654548645,"[272531263, 260063780, 187284049, 573791930, 90785206, 519974609, 166494940, 54391408, 54376108, 132733566]"
51,600m,72,24494,1,10,186.91138339042664,"[543998307, 34036621, 27899657, 46612672, 366146685, 297068784, 371221547, 46077019, 288338597, 525816005]"
52,600m,72,24494,1,10,186.7081835269928,"[493163657, 115745328, 420836435, 241568515, 159999328, 420568680, 53560322, 366096616, 298246847, 543600790]"
53,600m,72,24494,1,10,186.90998220443726,"[31677245, 47768807, 430079126, 217559975, 16806341, 210125482, 450030792, 305047031, 82187818, 338764605]"
54,600m,72,24494,1,10,186.66546654701233,"[340538846, 578698651, 89654179, 206755175, 462966013, 272099125, 542238241, 340330681, 597489403, 581036453]"
55,600m,72,24494,1,10,186.73142266273499,"[458070540, 513243661, 130382454, 594712541, 175195938, 183829504, 194939389, 432589461, 175800336, 174017977]"
56,600m,72,24494,1,10,186.54331922531128,"[315279017, 385113286, 375332831, 294871918, 555713159, 76701081, 448092594, 237920535, 369433639, 529403480]"
57,600m,72,24494,1,10,186.9224784374237,"[76378574, 76484817, 380720916, 509049685, 23656741, 191970143, 365085081, 190191648, 9105535, 217333369]"
58,600m,72,24494,1,10,187.0759720802307,"[111790819, 41980406, 185042547, 178362289, 185004784, 46002466, 216094193, 381452513, 6575303, 147021458]"
59,600m,72,24494,1,10,187.86454963684082,"[243075382, 396834165, 76491961, 204059607, 171456872, 512336242, 489442966, 467676068, 118454427, 160319876]"
60,600m,72,24494,1,10,187.85304832458496,"[244841950, 334864192, 36085481, 430666173, 319354255, 132249408, 285556910, 364661104, 9331376, 9331354]"
61,600m,72,24494,1,10,187.8963484764099,"[88413698, 152291662, 87177381, 159637364, 30327201, 298353658, 284097329, 120467136, 305976241, 494487482]"
62,600m,72,24494,1,10,187.83029198646545,"[241629397, 494241502, 51434528, 12634834, 233619684, 8827094, 224387811, 456165206, 386719219, 207962499]"
63,600m,72,24494,1,10,188.69303584098816,"[270401378, 361827055, 52986331, 563690315, 484863943, 384131335, 445199962, 240595101, 184515490, 391016431]"
64,600m,72,24494,1,10,188.71023869514465,"[217185418, 84066849, 548226198, 19059244, 90439601, 589417302, 263706156, 542243239, 118496477, 179532987]"
65,600m,72,24494,1,10,187.95823860168457,"[27189761, 278383145, 454217180, 71384431, 581020388, 309629502, 476017269, 25126619, 597180189, 410761523]"
66,600m,72,24494,1,10,187.87758445739746,"[336735408, 70473340, 194244468, 508445146, 562942223, 326899109, 127446584, 236646413, 12445948, 202536818]"
67,600m,72,24494,1,10,187.84103965759277,"[386180863, 29988430, 89146024, 563385914, 564020406, 404410578, 160685693, 101976635, 343943364, 177073537]"
68,600m,72,24494,1,10,187.80829691886902,"[265582474, 362955549, 143670194, 22282360, 561844575, 248190137, 97780755, 153603521, 440305694, 491097584]"
69,600m,72,24494,1,10,187.8968825340271,"[299503718, 547526819, 494503005, 223881798, 40933157, 501034303, 452879361, 32863356, 276175577, 94993425]"
70,600m,72,24494,1,10,188.08672189712524,"[552822517, 14700988, 243132285, 162408577, 258532458, 481086447, 87187338, 472693134, 279383232, 570387538]"
71,600m,72,24494,1,10,188.1064853668213,"[573260542, 333682070, 136021710, 546025776, 432821244, 271834051, 493843594, 477922653, 44392480, 478024384]"
72,600m,72,24494,1,10,188.01608514785767,"[446588711, 168468834, 539475952, 461876235, 444772633, 554055183, 455155738, 324629215, 363624009, 584665657]"
73,600m,72,24494,1,10,187.89996218681335,"[540778935, 241972422, 419519921, 319120328, 569812062, 523895935, 319494432, 133699417, 225385585, 231618061]"
74,600m,72,24494,1,10,187.84600806236267,"[517378138, 265396003, 210976861, 43947376, 517211417, 341032742, 344750993, 72428980, 183709613, 2383163]"
75,600m,72,24494,1,10,187.9215371608734,"[549589445, 155620539, 263452461, 597410261, 271612684, 17100209, 567678028, 468348092, 31811495, 367349867]"
76,600m,72,24494,1,10,187.95767641067505,"[329213839, 47074484, 409696869, 574911367, 575044943, 251901307, 421951907, 421905981, 331859210, 452727150]"
77,600m,72,24494,1,10,187.9234344959259,"[100806695, 29392618, 492991573, 499569667, 555371788, 288761517, 22580755, 59728990, 29149633, 110999700]"
78,600m,72,24494,1,10,187.79600930213928,"[254976624, 256994594, 171772927, 368786729, 190868400, 258703635, 491655597, 268183460, 400632256, 247783290]"
79,600m,72,24494,1,10,188.00478339195251,"[198788363, 547035905, 261792617, 356719285, 4463986, 66005742, 574548553, 156198037, 434237666, 431362334]"
80,600m,72,24494,1,10,188.56295680999756,"[181721375, 35502141, 307159838, 383361456, 89952573, 192160680, 312845800, 195811642, 367684103, 58729868]"
81,600m,72,24494,1,10,188.76102018356323,"[84848979, 55342692, 197553294, 216612568, 20668750, 582333068, 435659080, 418881242, 567432210, 271669109]"
82,600m,72,24494,1,10,188.55084586143494,"[426060089, 201612617, 165409987, 426058119, 285544667, 1753283, 6857360, 558819142, 472224338, 280120899]"
83,600m,72,24494,1,10,188.9909999370575,"[304706368, 208290461, 579712493, 295744348, 27699303, 520458616, 123093567, 301807532, 171420093, 415774410]"
84,600m,72,24494,1,10,188.5719211101532,"[374495231, 508578037, 303765303, 303894170, 303777852, 303777853, 442539628, 303777856, 443561584, 403869029]"
85,600m,72,24494,1,10,188.3636975288391,"[135859681, 487529913, 61872542, 390082707, 177270856, 253724408, 242283427, 142041489, 310574017, 162218567]"
86,600m,72,24494,1,10,188.49833226203918,"[590481425, 324507421, 465696629, 267826711, 235910197, 303065933, 519676012, 6294739, 288272199, 415423834]"
