shard_idx,shard_name,trial,disk_to_cpu_s,cpu_to_gpu_s,ntotal
0,hydra_head_0.faiss,1,6.909426181809977,12.253813304007053,67595000
1,hydra_head_1.faiss,1,6.909426181809977,11.549795842031017,67595000
2,hydra_head_2.faiss,1,6.909426181809977,12.413030473981053,67595000
3,hydra_head_3.faiss,1,6.909426181809977,12.944153337040916,67595000
0,hydra_head_0.faiss,2,6.909426181809977,3.5056177808437496,67595000
1,hydra_head_1.faiss,2,6.909426181809977,3.4964727840851992,67595000
2,hydra_head_2.faiss,2,6.909426181809977,3.7194530311971903,67595000
3,hydra_head_3.faiss,2,6.909426181809977,3.886184055125341,67595000
0,hydra_head_0.faiss,3,6.909426181809977,3.496348815970123,67595000
1,hydra_head_1.faiss,3,6.909426181809977,3.4771459531039,67595000
2,hydra_head_2.faiss,3,6.909426181809977,3.735095656942576,67595000
3,hydra_head_3.faiss,3,6.909426181809977,3.8746728079859167,67595000
0,hydra_head_0.faiss,4,6.909426181809977,3.505013779969886,67595000
1,hydra_head_1.faiss,4,6.909426181809977,3.4792347620241344,67595000
2,hydra_head_2.faiss,4,6.909426181809977,3.7240024260245264,67595000
3,hydra_head_3.faiss,4,6.909426181809977,3.884738386142999,67595000
0,hydra_head_0.faiss,5,6.909426181809977,3.530326426960528,67595000
1,hydra_head_1.faiss,5,6.909426181809977,3.478257028851658,67595000
2,hydra_head_2.faiss,5,6.909426181809977,3.7241638670675457,67595000
3,hydra_head_3.faiss,5,6.909426181809977,3.8916935820598155,67595000
