query,searched_shard_ids,num_searched_shards,gpu_transfer_time,gpu_search_time,warmup_time,best_retrieved_ids,top_doc_shards
0,"[1, 8, 39, 60, 77, 93, 166, 200, 209, 227, 239, 241]",12,0.3457284141331911,0.07714069867506623,0.21582739990359792,"[350323743, 22367475, 350285757, 22359499, 22352964, 596090569, 583617007, 40490076, 596064850, 347651857]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200]"
1,"[27, 32, 60, 109, 112, 114, 206, 209, 217, 224, 239]",11,0.16590686049312353,0.14424990117549896,0.3256176338234747,"[96761309, 462536204, 128100141, 512290626, 80310487, 544732844, 467725477, 184433825, 41433574, 597455031]","[206, 32, 32, 32, 206, 32, 32, 32, 32, 32]"
2,"[1, 4, 8, 10, 77, 82, 132, 146, 175, 188, 195, 241]",12,0.30853915633633733,0.06467920308932662,0.1576651718157033,"[97139517, 294043795, 8432815, 422118279, 522340063, 184228786, 58511679, 284206801, 574610836, 446094918]","[82, 175, 241, 8, 82, 77, 77, 77, 82, 82]"
3,"[22, 70, 104, 105, 127, 192]",6,0.21065468015149236,0.04832252208143473,0.33133240583507967,"[319976312, 473871456, 416180093, 533106488, 185862896, 409812650, 534845823, 3563663, 163663864, 232092470]","[22, 70, 70, 70, 22, 104, 22, 22, 22, 22]"
4,"[0, 5, 10, 43, 60, 93, 128, 132, 188, 239, 240]",11,0.15230737393721938,0.06720811175182462,0.18489933221346952,"[492485126, 241046875, 74580447, 364526066, 196412165, 197645372, 345397440, 197750504, 11876884, 251314455]","[93, 93, 93, 93, 10, 93, 93, 93, 10, 10]"
5,"[39, 49, 60, 82, 106, 109, 146, 187, 196, 227]",10,0.14510241709649563,0.1402857848443091,0.30387915011961014,"[516745818, 379513051, 379513049, 40647836, 98341154, 147282989, 98187524, 98187521, 268589670, 40511604]","[187, 227, 187, 227, 227, 109, 227, 109, 227, 227]"
6,"[20, 85, 96, 125, 188]",5,0.1178020047955215,0.030117865186184645,0.2377977841999382,"[223359640, 134921891, 306289225, 172489898, 473056010, 163594463, 184462764, 578112746, 538022211, 98659306]","[125, 20, 188, 20, 96, 96, 96, 96, 188, 96]"
7,"[18, 26, 36, 45, 48, 64, 108, 126, 164, 181, 201, 215]",12,0.24467342533171177,0.12244932306930423,0.3285717756371014,"[159171799, 63753766, 152048176, 311568376, 272006514, 527884014, 311566733, 101019765, 596196708, 531665456]","[201, 181, 215, 36, 215, 48, 36, 36, 181, 48]"
8,"[0, 39, 67, 91, 159, 186, 200, 209, 224, 240]",10,0.23393024131655693,0.07954596122726798,0.2509169830707833,"[327654649, 459540312, 575997322, 67520733, 180283059, 562193291, 305388418, 41178123, 30515188, 339438330]","[209, 209, 209, 209, 209, 209, 209, 209, 209, 209]"
9,"[4, 30, 38, 59, 67, 70, 84, 104, 105, 175, 224]",11,0.3118073958903551,0.07374260434880853,0.26345801436003635,"[244047149, 407497946, 244049389, 372337157, 244048645, 372313030, 99048836, 406973178, 237900005, 99090315]","[67, 67, 175, 67, 67, 175, 67, 67, 175, 67]"
10,"[6, 42, 76, 91, 106, 109, 113, 146, 171, 186, 194, 209, 217, 224, 225, 244]",16,0.31959255039691925,0.17635647859424353,0.2659368825407,"[596989224, 177718168, 361359114, 219357708, 372868532, 109100480, 45889684, 455472830, 351990776, 457845149]","[76, 76, 76, 76, 76, 76, 76, 76, 76, 76]"
