query,num_centroids,searched_shard_ids,num_searched_shards,gpu_transfer_time,gpu_search_time,warmup_time,best_retrieved_ids,top_doc_shards
0,9,"[1, 39, 200, 227, 241]",5,0.14499974576756358,0.029841980896890163,0.22564249471761286,"[350323743, 22367475, 350285757, 22359499, 22352964, 596090569, 583617007, 40490076, 596064850, 347651857]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200]"
1,9,"[32, 206, 209, 239]",4,0.04541673418134451,0.09782399656251073,0.25752653036033735,"[96761309, 462536204, 128100141, 512290626, 80310487, 544732844, 467725477, 184433825, 41433574, 597455031]","[206, 32, 32, 32, 206, 32, 32, 32, 32, 32]"
2,9,"[1, 10, 82, 146, 175, 195]",6,0.18356121750548482,0.03491803351789713,0.17496258680087826,"[97139517, 294043795, 522340063, 574610836, 446094918, 562872736, 452861684, 252502827, 116249766, 474290425]","[82, 175, 82, 82, 82, 175, 10, 195, 175, 82]"
3,9,"[22, 70, 105, 192]",4,0.07230347162112594,0.032384357415139675,0.3250881260028109,"[319976312, 473871456, 416180093, 533106488, 185862896, 534845823, 3563663, 163663864, 232092470, 545925259]","[22, 70, 70, 70, 22, 22, 22, 22, 22, 70]"
4,9,"[0, 10, 93, 239]",4,0.04098404152318835,0.027124914340674877,0.20692427415633574,"[492485126, 241046875, 74580447, 364526066, 196412165, 197645372, 345397440, 197750504, 11876884, 251314455]","[93, 93, 93, 93, 10, 93, 93, 93, 10, 10]"
5,9,"[39, 60, 82, 106, 109, 146]",6,0.0789688746444881,0.11054750625044107,0.2661518548460056,"[147282989, 98187521, 186078600, 574719018, 435813526, 3817597, 85329960, 229779045, 586817200, 474729487]","[109, 109, 60, 109, 60, 109, 146, 109, 146, 109]"
6,9,"[20, 96, 125, 188]",4,0.04592908872291446,0.02702152170240879,0.31411509995814413,"[223359640, 134921891, 306289225, 172489898, 473056010, 163594463, 184462764, 578112746, 538022211, 98659306]","[125, 20, 188, 20, 96, 96, 96, 96, 188, 96]"
7,9,"[26, 36, 64, 126, 201, 215]",6,0.12406224990263581,0.04824865097180009,0.5031136489706114,"[159171799, 152048176, 311568376, 272006514, 311566733, 101019765, 264700014, 553843211, 285424401, 360971373]","[201, 215, 36, 215, 36, 36, 64, 126, 201, 36]"
8,9,"[91, 159, 209, 240]",4,0.07565116602927446,0.019271729048341513,0.1773535487591289,"[327654649, 459540312, 575997322, 67520733, 180283059, 562193291, 305388418, 41178123, 30515188, 339438330]","[209, 209, 209, 209, 209, 209, 209, 209, 209, 209]"
9,9,"[59, 67, 105, 175, 224]",5,0.16947082476690412,0.032952137757092714,0.2135269358754158,"[244047149, 407497946, 244049389, 372337157, 244048645, 372313030, 99048836, 406973178, 237900005, 99090315]","[67, 67, 175, 67, 67, 175, 67, 67, 175, 67]"
10,9,"[76, 91, 106, 186, 194, 224, 244]",7,0.12353479117155075,0.05123944813385606,0.2532601391098329,"[596989224, 177718168, 361359114, 219357708, 372868532, 109100480, 45889684, 455472830, 351990776, 457845149]","[76, 76, 76, 76, 76, 76, 76, 76, 76, 76]"
11,9,"[10, 12, 18, 126, 127]",5,0.07852362701669335,0.04045873088762164,0.5919756443239749,"[316195675, 347961149, 246469994, 127689114, 316205222, 335612984, 316205221, 505439277, 402151260, 575814845]","[18, 12, 12, 18, 18, 12, 18, 12, 12, 12]"
12,9,"[33, 85, 96, 188]",4,0.16370923118665814,0.022380508948117495,0.22363659500842914,"[143285814, 398227840, 150775094, 533066813, 416989615, 478916319, 559059925, 583463400, 255704802, 337200373]","[96, 96, 96, 96, 96, 96, 96, 96, 96, 96]"
13,9,"[20, 63, 70, 82, 132, 175]",6,0.17443673266097903,0.03852796973660588,0.1706691193006312,"[269953808, 270017264, 53616989, 219464520, 269932498, 264374402, 21302424, 107532941, 53616990, 439849310]","[82, 82, 82, 70, 82, 132, 82, 132, 82, 82]"
14,9,"[84, 192]",2,0.03367191692814231,0.016556549817323685,0.37710147036705166,"[2930195, 304291211, 5479281, 298156409, 435890273, 300724316, 214405047, 504375842, 531276114, 133995960]","[192, 192, 84, 192, 192, 192, 84, 192, 84, 84]"
15,9,"[25, 59, 107, 195]",4,0.06708882609382272,0.02283913642168045,0.18597868911456317,"[540834996, 425755668, 346415404, 400155932, 347682406, 548796299, 583527657, 236059986, 540791896, 318230608]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 107]"
16,9,"[168, 196, 227, 233]",4,0.06979779805988073,0.033685293048620224,0.39507380418945104,"[388372331, 477914499, 313295416, 94283698, 417756224, 81047150, 287698740, 413998749, 388567738, 553227721]","[168, 168, 168, 168, 168, 233, 168, 168, 168, 168]"
