index_size,nprobe,batch_size,retrieved_docs,avg_query_time
25m,64,1,5,0.005530307292938233
25m,64,2,5,0.005465160131454468
25m,64,4,5,0.005392532348632812
25m,64,8,5,0.005394191026687622
25m,64,16,5,0.007522224187850952
25m,64,32,5,0.01061229157447815
25m,64,64,5,0.017921698808670044
25m,128,1,5,0.0055941536426544185
25m,128,2,5,0.005487713098526001
25m,128,4,5,0.005491952657699585
25m,128,8,5,0.0073621168136596676
25m,128,16,5,0.010744779586791993
25m,128,32,5,0.01806913137435913
25m,128,64,5,0.03379161548614502
25m,256,1,5,0.005634104728698731
25m,256,2,5,0.005588925838470459
25m,256,4,5,0.007403284311294556
25m,256,8,5,0.010899688243865967
25m,256,16,5,0.018261786699295044
25m,256,32,5,0.03397277736663818
25m,256,64,5,0.06591103816032409
25m,512,1,5,0.005711392164230346
25m,512,2,5,0.007559141159057617
25m,512,4,5,0.011108342170715333
25m,512,8,5,0.018507638692855835
25m,512,16,5,0.034204484939575196
25m,512,32,5,0.06613322305679321
25m,512,64,5,0.12997010350227356
