shard_idx,shard_name,trial,disk_to_cpu_s,cpu_to_gpu_s,ntotal
0,hydra_head_0.faiss,1,5.709016828797758,37.135448812972754,46005000
1,hydra_head_1.faiss,1,5.709016828797758,43.15171591588296,53802000
2,hydra_head_2.faiss,1,5.709016828797758,43.172383857890964,53976000
3,hydra_head_3.faiss,1,5.709016828797758,36.666167340939865,45807000
4,hydra_head_4.faiss,1,5.709016828797758,10.583895683987066,56400000
5,hydra_head_5.faiss,1,5.709016828797758,35.177429830189794,44010000
0,hydra_head_0.faiss,2,5.709016828797758,6.160964595153928,46005000
1,hydra_head_1.faiss,2,5.709016828797758,7.297101484145969,53802000
2,hydra_head_2.faiss,2,5.709016828797758,7.468625873094425,53976000
3,hydra_head_3.faiss,2,5.709016828797758,6.458906664978713,45807000
4,hydra_head_4.faiss,2,5.709016828797758,0.13349880394525826,56400000
5,hydra_head_5.faiss,2,5.709016828797758,6.499839048134163,44010000
0,hydra_head_0.faiss,3,5.709016828797758,0.10943149006925523,46005000
1,hydra_head_1.faiss,3,5.709016828797758,0.12830540211871266,53802000
2,hydra_head_2.faiss,3,5.709016828797758,0.12729333410970867,53976000
3,hydra_head_3.faiss,3,5.709016828797758,0.10816796403378248,45807000
4,hydra_head_4.faiss,3,5.709016828797758,0.1326339989900589,56400000
5,hydra_head_5.faiss,3,5.709016828797758,0.10408183303661644,44010000
0,hydra_head_0.faiss,4,5.709016828797758,0.10853545391000807,46005000
1,hydra_head_1.faiss,4,5.709016828797758,0.12631848198361695,53802000
2,hydra_head_2.faiss,4,5.709016828797758,0.1361302719451487,53976000
3,hydra_head_3.faiss,4,5.709016828797758,0.1076716419775039,45807000
4,hydra_head_4.faiss,4,5.709016828797758,0.13352494686841965,56400000
5,hydra_head_5.faiss,4,5.709016828797758,0.103987145004794,44010000
0,hydra_head_0.faiss,5,5.709016828797758,0.11092167277820408,46005000
1,hydra_head_1.faiss,5,5.709016828797758,0.1275819749571383,53802000
2,hydra_head_2.faiss,5,5.709016828797758,0.12691374798305333,53976000
3,hydra_head_3.faiss,5,5.709016828797758,0.10764997778460383,45807000
4,hydra_head_4.faiss,5,5.709016828797758,0.13265796704217792,56400000
5,hydra_head_5.faiss,5,5.709016828797758,0.10386026394553483,44010000
0,hydra_head_0.faiss,6,5.709016828797758,0.10886230296455324,46005000
1,hydra_head_1.faiss,6,5.709016828797758,0.1266812989488244,53802000
2,hydra_head_2.faiss,6,5.709016828797758,0.12785890395753086,53976000
3,hydra_head_3.faiss,6,5.709016828797758,0.1078351300675422,45807000
4,hydra_head_4.faiss,6,5.709016828797758,0.13445947994478047,56400000
5,hydra_head_5.faiss,6,5.709016828797758,0.10390823194757104,44010000
0,hydra_head_0.faiss,7,5.709016828797758,0.10838601388968527,46005000
1,hydra_head_1.faiss,7,5.709016828797758,0.13341880310326815,53802000
2,hydra_head_2.faiss,7,5.709016828797758,0.12698674108833075,53976000
3,hydra_head_3.faiss,7,5.709016828797758,0.10818774090148509,45807000
4,hydra_head_4.faiss,7,5.709016828797758,0.1324946389067918,56400000
5,hydra_head_5.faiss,7,5.709016828797758,0.10380295105278492,44010000
0,hydra_head_0.faiss,8,5.709016828797758,0.10836959700100124,46005000
1,hydra_head_1.faiss,8,5.709016828797758,0.129220318980515,53802000
2,hydra_head_2.faiss,8,5.709016828797758,0.12663803505711257,53976000
3,hydra_head_3.faiss,8,5.709016828797758,0.1728573248255998,45807000
4,hydra_head_4.faiss,8,5.709016828797758,0.13487826520577073,56400000
5,hydra_head_5.faiss,8,5.709016828797758,0.10401821695268154,44010000
0,hydra_head_0.faiss,9,5.709016828797758,0.1088456311263144,46005000
1,hydra_head_1.faiss,9,5.709016828797758,0.1262610089033842,53802000
2,hydra_head_2.faiss,9,5.709016828797758,0.12656206614337862,53976000
3,hydra_head_3.faiss,9,5.709016828797758,0.1075376570224762,45807000
4,hydra_head_4.faiss,9,5.709016828797758,0.133012784877792,56400000
5,hydra_head_5.faiss,9,5.709016828797758,0.10414023394696414,44010000
0,hydra_head_0.faiss,10,5.709016828797758,0.10889270296320319,46005000
1,hydra_head_1.faiss,10,5.709016828797758,0.1263850419782102,53802000
2,hydra_head_2.faiss,10,5.709016828797758,0.12660737917758524,53976000
3,hydra_head_3.faiss,10,5.709016828797758,0.10753813688643277,45807000
4,hydra_head_4.faiss,10,5.709016828797758,0.13285108795389533,56400000
5,hydra_head_5.faiss,10,5.709016828797758,0.10393204097636044,44010000
0,hydra_head_0.faiss,11,5.709016828797758,0.10822351602837443,46005000
1,hydra_head_1.faiss,11,5.709016828797758,0.12638904200866818,53802000
2,hydra_head_2.faiss,11,5.709016828797758,0.12687765201553702,53976000
3,hydra_head_3.faiss,11,5.709016828797758,0.11936603300273418,45807000
4,hydra_head_4.faiss,11,5.709016828797758,0.1345963440835476,56400000
5,hydra_head_5.faiss,11,5.709016828797758,0.10398464789614081,44010000
0,hydra_head_0.faiss,12,5.709016828797758,0.10833698906935751,46005000
1,hydra_head_1.faiss,12,5.709016828797758,0.1265586109366268,53802000
2,hydra_head_2.faiss,12,5.709016828797758,0.1267290748655796,53976000
3,hydra_head_3.faiss,12,5.709016828797758,0.10880051110871136,45807000
4,hydra_head_4.faiss,12,5.709016828797758,0.1328948000445962,56400000
5,hydra_head_5.faiss,12,5.709016828797758,0.10411677695810795,44010000
0,hydra_head_0.faiss,13,5.709016828797758,0.10862751794047654,46005000
1,hydra_head_1.faiss,13,5.709016828797758,0.12670421111397445,53802000
2,hydra_head_2.faiss,13,5.709016828797758,0.1265735540073365,53976000
3,hydra_head_3.faiss,13,5.709016828797758,0.1078458190895617,45807000
4,hydra_head_4.faiss,13,5.709016828797758,0.13238052604719996,56400000
5,hydra_head_5.faiss,13,5.709016828797758,0.10412797704339027,44010000
0,hydra_head_0.faiss,14,5.709016828797758,0.10868918197229505,46005000
1,hydra_head_1.faiss,14,5.709016828797758,0.12852412392385304,53802000
2,hydra_head_2.faiss,14,5.709016828797758,0.1271511900704354,53976000
3,hydra_head_3.faiss,14,5.709016828797758,0.1077695949934423,45807000
4,hydra_head_4.faiss,14,5.709016828797758,0.1323252939619124,56400000
5,hydra_head_5.faiss,14,5.709016828797758,0.1037371268030256,44010000
0,hydra_head_0.faiss,15,5.709016828797758,0.10885145491920412,46005000
1,hydra_head_1.faiss,15,5.709016828797758,0.1273022301029414,53802000
2,hydra_head_2.faiss,15,5.709016828797758,0.1299605139065534,53976000
3,hydra_head_3.faiss,15,5.709016828797758,0.10792527487501502,45807000
4,hydra_head_4.faiss,15,5.709016828797758,0.13499839487485588,56400000
5,hydra_head_5.faiss,15,5.709016828797758,0.16795387701131403,44010000
0,hydra_head_0.faiss,16,5.709016828797758,0.1081992918625474,46005000
1,hydra_head_1.faiss,16,5.709016828797758,0.12880172487348318,53802000
2,hydra_head_2.faiss,16,5.709016828797758,0.1279282809700817,53976000
3,hydra_head_3.faiss,16,5.709016828797758,0.1075941058807075,45807000
4,hydra_head_4.faiss,16,5.709016828797758,0.13240865408442914,56400000
5,hydra_head_5.faiss,16,5.709016828797758,0.10377396014519036,44010000
0,hydra_head_0.faiss,17,5.709016828797758,0.10828815679997206,46005000
1,hydra_head_1.faiss,17,5.709016828797758,0.1364774089306593,53802000
2,hydra_head_2.faiss,17,5.709016828797758,0.12665025889873505,53976000
3,hydra_head_3.faiss,17,5.709016828797758,0.10755730606615543,45807000
4,hydra_head_4.faiss,17,5.709016828797758,0.13230161392129958,56400000
5,hydra_head_5.faiss,17,5.709016828797758,0.10374903096817434,44010000
0,hydra_head_0.faiss,18,5.709016828797758,0.10828828485682607,46005000
1,hydra_head_1.faiss,18,5.709016828797758,0.12678395491093397,53802000
2,hydra_head_2.faiss,18,5.709016828797758,0.12730968580581248,53976000
3,hydra_head_3.faiss,18,5.709016828797758,0.11489269998855889,45807000
4,hydra_head_4.faiss,18,5.709016828797758,0.13254673499614,56400000
5,hydra_head_5.faiss,18,5.709016828797758,0.10392333706840873,44010000
0,hydra_head_0.faiss,19,5.709016828797758,0.10908588790334761,46005000
1,hydra_head_1.faiss,19,5.709016828797758,0.1270386769901961,53802000
2,hydra_head_2.faiss,19,5.709016828797758,0.12686251616105437,53976000
3,hydra_head_3.faiss,19,5.709016828797758,0.10774293798021972,45807000
4,hydra_head_4.faiss,19,5.709016828797758,0.1336210120934993,56400000
5,hydra_head_5.faiss,19,5.709016828797758,0.10422800900414586,44010000
0,hydra_head_0.faiss,20,5.709016828797758,0.11853530909866095,46005000
1,hydra_head_1.faiss,20,5.709016828797758,0.1267551879864186,53802000
2,hydra_head_2.faiss,20,5.709016828797758,0.12667774688452482,53976000
3,hydra_head_3.faiss,20,5.709016828797758,0.10948761785402894,45807000
4,hydra_head_4.faiss,20,5.709016828797758,0.13245172705501318,56400000
5,hydra_head_5.faiss,20,5.709016828797758,0.10374048794619739,44010000
0,hydra_head_0.faiss,21,5.709016828797758,0.10825046105310321,46005000
1,hydra_head_1.faiss,21,5.709016828797758,0.1261430571321398,53802000
2,hydra_head_2.faiss,21,5.709016828797758,0.1267942280974239,53976000
3,hydra_head_3.faiss,21,5.709016828797758,0.17133686901070178,45807000
4,hydra_head_4.faiss,21,5.709016828797758,0.1325602070428431,56400000
5,hydra_head_5.faiss,21,5.709016828797758,0.10564036900177598,44010000
0,hydra_head_0.faiss,22,5.709016828797758,0.10881203110329807,46005000
1,hydra_head_1.faiss,22,5.709016828797758,0.12657569907605648,53802000
2,hydra_head_2.faiss,22,5.709016828797758,0.1265996671281755,53976000
3,hydra_head_3.faiss,22,5.709016828797758,0.10757129010744393,45807000
4,hydra_head_4.faiss,22,5.709016828797758,0.13340875483117998,56400000
5,hydra_head_5.faiss,22,5.709016828797758,0.11300014681182802,44010000
0,hydra_head_0.faiss,23,5.709016828797758,0.10830124490894377,46005000
1,hydra_head_1.faiss,23,5.709016828797758,0.12651003408245742,53802000
2,hydra_head_2.faiss,23,5.709016828797758,0.12664017896167934,53976000
3,hydra_head_3.faiss,23,5.709016828797758,0.10758108086884022,45807000
4,hydra_head_4.faiss,23,5.709016828797758,0.1338437010999769,56400000
5,hydra_head_5.faiss,23,5.709016828797758,0.10387047100812197,44010000
0,hydra_head_0.faiss,24,5.709016828797758,0.10826860507950187,46005000
1,hydra_head_1.faiss,24,5.709016828797758,0.12630286603234708,53802000
2,hydra_head_2.faiss,24,5.709016828797758,0.12727515818551183,53976000
3,hydra_head_3.faiss,24,5.709016828797758,0.10783356288447976,45807000
4,hydra_head_4.faiss,24,5.709016828797758,0.13507967512123287,56400000
5,hydra_head_5.faiss,24,5.709016828797758,0.10392311308532953,44010000
0,hydra_head_0.faiss,25,5.709016828797758,0.10823526000604033,46005000
1,hydra_head_1.faiss,25,5.709016828797758,0.12639691401273012,53802000
2,hydra_head_2.faiss,25,5.709016828797758,0.1284453070256859,53976000
3,hydra_head_3.faiss,25,5.709016828797758,0.10811797995120287,45807000
4,hydra_head_4.faiss,25,5.709016828797758,0.1326080788858235,56400000
5,hydra_head_5.faiss,25,5.709016828797758,0.10408992902375758,44010000
0,hydra_head_0.faiss,26,5.709016828797758,0.10904806503094733,46005000
1,hydra_head_1.faiss,26,5.709016828797758,0.1262135209981352,53802000
2,hydra_head_2.faiss,26,5.709016828797758,0.1267181308940053,53976000
3,hydra_head_3.faiss,26,5.709016828797758,0.10764098586514592,45807000
4,hydra_head_4.faiss,26,5.709016828797758,0.13230558205395937,56400000
5,hydra_head_5.faiss,26,5.709016828797758,0.10581796895712614,44010000
0,hydra_head_0.faiss,27,5.709016828797758,0.10879814415238798,46005000
1,hydra_head_1.faiss,27,5.709016828797758,0.12679717200808227,53802000
2,hydra_head_2.faiss,27,5.709016828797758,0.1270592848304659,53976000
3,hydra_head_3.faiss,27,5.709016828797758,0.10842121415771544,45807000
4,hydra_head_4.faiss,27,5.709016828797758,0.132422701921314,56400000
5,hydra_head_5.faiss,27,5.709016828797758,0.10371443978510797,44010000
0,hydra_head_0.faiss,28,5.709016828797758,0.10821260395459831,46005000
1,hydra_head_1.faiss,28,5.709016828797758,0.1265016500838101,53802000
2,hydra_head_2.faiss,28,5.709016828797758,0.12701086909510195,53976000
3,hydra_head_3.faiss,28,5.709016828797758,0.11855422100052238,45807000
4,hydra_head_4.faiss,28,5.709016828797758,0.19995546690188348,56400000
5,hydra_head_5.faiss,28,5.709016828797758,0.10394467995502055,44010000
0,hydra_head_0.faiss,29,5.709016828797758,0.10823753196746111,46005000
1,hydra_head_1.faiss,29,5.709016828797758,0.12664046697318554,53802000
2,hydra_head_2.faiss,29,5.709016828797758,0.126563283149153,53976000
3,hydra_head_3.faiss,29,5.709016828797758,0.10756776900961995,45807000
4,hydra_head_4.faiss,29,5.709016828797758,0.132498285965994,56400000
5,hydra_head_5.faiss,29,5.709016828797758,0.10388688812963665,44010000
0,hydra_head_0.faiss,30,5.709016828797758,0.1083901091478765,46005000
1,hydra_head_1.faiss,30,5.709016828797758,0.12618929706513882,53802000
2,hydra_head_2.faiss,30,5.709016828797758,0.12695547589100897,53976000
3,hydra_head_3.faiss,30,5.709016828797758,0.10756584908813238,45807000
4,hydra_head_4.faiss,30,5.709016828797758,0.13238471816293895,56400000
5,hydra_head_5.faiss,30,5.709016828797758,0.10370691888965666,44010000
0,hydra_head_0.faiss,31,5.709016828797758,0.10820572497323155,46005000
1,hydra_head_1.faiss,31,5.709016828797758,0.12769637606106699,53802000
2,hydra_head_2.faiss,31,5.709016828797758,0.127226006006822,53976000
3,hydra_head_3.faiss,31,5.709016828797758,0.11641427502036095,45807000
4,hydra_head_4.faiss,31,5.709016828797758,0.13239284604787827,56400000
5,hydra_head_5.faiss,31,5.709016828797758,0.10386128700338304,44010000
0,hydra_head_0.faiss,32,5.709016828797758,0.10824329289607704,46005000
1,hydra_head_1.faiss,32,5.709016828797758,0.12680485215969384,53802000
2,hydra_head_2.faiss,32,5.709016828797758,0.1279550010804087,53976000
3,hydra_head_3.faiss,32,5.709016828797758,0.10794076300226152,45807000
4,hydra_head_4.faiss,32,5.709016828797758,0.1331795381847769,56400000
5,hydra_head_5.faiss,32,5.709016828797758,0.16823922307230532,44010000
0,hydra_head_0.faiss,33,5.709016828797758,0.10834649298340082,46005000
1,hydra_head_1.faiss,33,5.709016828797758,0.1263754740357399,53802000
2,hydra_head_2.faiss,33,5.709016828797758,0.12676210002973676,53976000
