size,avg_disk_to_cpu_s,avg_cpu_to_gpu_s_filtered
10m,1.8549031680449843,0.03256763564422721
20m,3.703092654934153,0.05584857706930864
30m,5.5361473120283335,0.07818122954364407
40m,7.277172433910891,0.10089497363232833
50m,9.192435150966048,0.12385395261915207
60m,10.81407139217481,0.1444179396221072
70m,12.6429809469264,0.16607470695185947
80m,13.12599266995676,0.1905124173927292
90m,15.848935131914914,0.21128165966603069
100m,18.03138924599625,0.23997706962435753
