trial,disk_to_cpu_s,cpu_to_gpu_s,avg_batch_latency_s
1,9.205845636082813,76.85405534808524,0.048867786244954914
2,9.205845636082813,17.024519664933905,0.038723020639736205
3,9.205845636082813,0.2367517128586769,0.047604068589862436
4,9.205845636082813,0.2366096330806613,0.03854770795442164
5,9.205845636082813,0.23661990510299802,0.03882645344128832
6,9.205845636082813,0.23638575989753008,0.03875831700861454
7,9.205845636082813,0.23813076014630497,0.03860909241484478
8,9.205845636082813,0.2363842239137739,0.04040190047817305
9,9.205845636082813,0.3004259499721229,0.03854811633937061
10,9.205845636082813,0.23721257993020117,0.038734196743462235
11,9.205845636082813,0.23693785909563303,0.05453215556917712
12,9.205845636082813,0.23640342382714152,0.038622892170678824
13,9.205845636082813,0.23624006402678788,0.038698708813171834
14,9.205845636082813,0.2363118720240891,0.0386559966718778
15,9.205845636082813,0.23703190684318542,0.0384927237755619
16,9.205845636082813,0.2371022750157863,0.05100059579126537
17,9.205845636082813,0.23788150981999934,0.03860088426154107
18,9.205845636082813,0.23648771294392645,0.03854710829909891
19,9.205845636082813,0.2372207399457693,0.048181191203184426
20,9.205845636082813,0.23635606421157718,0.03876487730303779
21,9.205845636082813,0.23617411102168262,0.03873496490996331
22,9.205845636082813,0.23663715296424925,0.0388007492874749
23,9.205845636082813,0.23723555589094758,0.03853038826491684
24,9.205845636082813,0.2363736960105598,0.05166817479766905
25,9.205845636082813,0.23634742386639118,0.03874921327224001
26,9.205845636082813,0.23650185693986714,0.03859910822939128
27,9.205845636082813,0.2364836169872433,0.049199035740457475
28,9.205845636082813,0.2368903700262308,0.038596980506554246
29,9.205845636082813,0.23637481615878642,0.03896089398767799
30,9.205845636082813,0.2391839490737766,0.03871594899101183
31,9.205845636082813,0.23731197183951735,0.03856108401669189
32,9.205845636082813,0.23635599995031953,0.049592629773542285
33,9.205845636082813,0.23645769618451595,0.038897326041478664
34,9.205845636082813,0.2368293779436499,0.038686780782882124
35,9.205845636082813,0.23681200202554464,0.04918049171101302
36,9.205845636082813,0.23679404985159636,0.038849189528264105
37,9.205845636082813,0.2368648978881538,0.038723372970707715
38,9.205845636082813,0.2378029499668628,0.03865414042957127
39,9.205845636082813,0.237257347907871,0.03865948470775038
40,9.205845636082813,0.2372329318895936,0.05027804052224383
41,9.205845636082813,0.23713344288989902,0.038758844952099025
42,9.205845636082813,0.2363478080369532,0.038523900031577796
43,9.205845636082813,0.23689321777783334,0.048462720471434295
44,9.205845636082813,0.2370500830002129,0.038487267738673836
45,9.205845636082813,0.23692736285738647,0.038583788147661835
46,9.205845636082813,0.2383301209192723,0.04131000040797517
47,9.205845636082813,0.23803587909787893,0.03880922932876274
48,9.205845636082813,0.23700070683844388,0.048318975954316556
49,9.205845636082813,0.23640838405117393,0.03870068502146751
50,9.205845636082813,0.23675190610811114,0.038649700582027435
51,9.205845636082813,0.23700665892101824,0.048870898492168635
52,9.205845636082813,0.2369650909677148,0.03869546903297305
53,9.205845636082813,0.23753856495022774,0.03870711667696014
54,9.205845636082813,0.23843821696937084,0.038750501291360706
55,9.205845636082813,0.23721005208790302,0.03879806149052456
56,9.205845636082813,0.23701734701171517,0.049725166289135814
57,9.205845636082813,0.23664080118760467,0.038786997261922807
58,9.205845636082813,0.23676976189017296,0.038815493579022586
59,9.205845636082813,0.23696998693048954,0.04826902342028916
60,9.205845636082813,0.2365489611402154,0.03840895550092682
61,9.205845636082813,0.23699469096027315,0.03884533356176689
62,9.205845636082813,0.2377665019594133,0.03872907691402361
