trial,disk_to_cpu_s,cpu_to_gpu_s,avg_batch_latency_s
1,1.0089747209567577,2.5090858510229737,0.04067856108304113
2,1.0089747209567577,2.099511862033978,0.030088901286944747
3,1.0089747209567577,2.106306033907458,0.030725191812962294
4,1.0089747209567577,1.9050904780160636,0.03101478493772447
5,1.0089747209567577,2.0533603739459068,0.0308892804896459
6,1.0089747209567577,1.9493475898634642,0.029872332233935595
7,1.0089747209567577,1.996328392997384,0.0298236440285109
8,1.0089747209567577,1.8848063619807363,0.029756467789411545
9,1.0089747209567577,2.030736953020096,0.029648451192770153
10,1.0089747209567577,1.917797922855243,0.029906779993325472
11,1.0089747209567577,1.846084153978154,0.029657427279744297
12,1.0089747209567577,1.9772592580411583,0.02990743622649461
13,1.0089747209567577,1.9652496410999447,0.029644827358424664
14,1.0089747209567577,1.8566472381353378,0.029836980043910444
15,1.0089747209567577,1.8233592589385808,0.029229441774077713
16,1.0089747209567577,1.8105266620405018,0.029732915689237416
17,1.0089747209567577,1.8191118179820478,0.02927964151604101
18,1.0089747209567577,1.871032384922728,0.029376170074101537
19,1.0089747209567577,1.852333843940869,0.029305113712325692
20,1.0089747209567577,1.8307756108697504,0.029437986493576318
21,1.0089747209567577,1.7901486579794437,0.029309137957170606
22,1.0089747209567577,1.8337154949549586,0.029286481498274952
23,1.0089747209567577,1.8413073990959674,0.029360514308791608
24,1.0089747209567577,1.849491017172113,0.029307225777301937
25,1.0089747209567577,1.8395038708113134,0.029308721772395074
26,1.0089747209567577,1.8410993341822177,0.02938556217122823
27,1.0089747209567577,1.7930843499489129,0.02942952251760289
28,1.0089747209567577,1.7906508680898696,0.029444594285450876
29,1.0089747209567577,1.8066554788965732,0.029289473546668887
30,1.0089747209567577,1.825901702977717,0.030510414857417345
31,1.0089747209567577,1.8133170099463314,0.029273449734319
32,1.0089747209567577,1.839807105017826,0.029512650682590902
33,1.0089747209567577,1.8302235130686313,0.029273697757162154
34,1.0089747209567577,1.8239146231207997,0.029264369572047144
35,1.0089747209567577,1.8137920848093927,0.02940226619830355
36,1.0089747209567577,1.7811122690327466,0.029360946267843246
37,1.0089747209567577,1.7959234989248216,0.029340362001676112
38,1.0089747209567577,1.8069543929304928,0.029335329949390143
39,1.0089747209567577,1.821180404163897,0.029300754074938595
40,1.0089747209567577,1.8284067381173372,0.02933577774092555
41,1.0089747209567577,1.8105396879836917,0.029415146447718143
42,1.0089747209567577,1.8266330340411514,0.029298737703356892
43,1.0089747209567577,1.8262352091260254,0.02933940978255123
44,1.0089747209567577,1.8200599839910865,0.02927212178474292
45,1.0089747209567577,1.7996040261350572,0.02986736426828429
46,1.0089747209567577,1.8189124909695238,0.029416146280709654
47,1.0089747209567577,1.7884974530898035,0.029450298519805074
48,1.0089747209567577,1.7846704930998385,0.02928850572789088
49,1.0089747209567577,1.8244600989855826,0.0293176660197787
50,1.0089747209567577,1.7987811439670622,0.029397770238574594
51,1.0089747209567577,1.811744652921334,0.029345154005568475
52,1.0089747209567577,1.8261772899422795,0.029225425620097667
53,1.0089747209567577,1.8061521830968559,0.029337665997445583
54,1.0089747209567577,1.823125276947394,0.0293067938182503
55,1.0089747209567577,1.8020083250012249,0.03136335458839312
56,1.0089747209567577,1.8249646131880581,0.029290297767147422
57,1.0089747209567577,1.8231951969210058,0.029433058225549757
58,1.0089747209567577,1.8059134299401194,0.029484514496289194
59,1.0089747209567577,1.8222768590785563,0.029510098800528795
60,1.0089747209567577,1.790645495057106,0.029285633703693748
61,1.0089747209567577,1.7971747380215675,0.029334057995583862
62,1.0089747209567577,1.7876604900229722,0.029297113767825067
63,1.0089747209567577,1.8193325579632074,0.029314505751244724
64,1.0089747209567577,1.7804607159923762,0.029277985799126327
65,1.0089747209567577,1.7892931699752808,0.029311778082046658
66,1.0089747209567577,1.7977924689184874,0.029397234204225242
67,1.0089747209567577,1.7891385129187256,0.02936689805937931
68,1.0089747209567577,1.7989987779874355,0.029272617772221565
69,1.0089747209567577,1.7851744648069143,0.029338738066144288
70,1.0089747209567577,1.786689959000796,0.0292620497639291
71,1.0089747209567577,1.784075547941029,0.029384650173597038
72,1.0089747209567577,1.7808830870781094,0.029307777993381023
73,1.0089747209567577,1.7946824398823082,0.029308385914191604
74,1.0089747209567577,1.7894330751150846,0.029293257975950837
75,1.0089747209567577,1.7853431701660156,0.029268137470353395
76,1.0089747209567577,1.7845600300934166,0.029293097788468003
77,1.0089747209567577,1.8219120579306036,0.029319033958017826
78,1.0089747209567577,1.7839056919328868,0.029268345737364143
79,1.0089747209567577,1.8018945350777358,0.029309081728570163
80,1.0089747209567577,1.7915430360008031,0.029612907266709954
81,1.0089747209567577,1.7883832470979542,0.02934208995429799
82,1.0089747209567577,1.7896088198758662,0.02924512984463945
83,1.0089747209567577,1.7861679091583937,0.02925972151570022
84,1.0089747209567577,1.7906628078781068,0.029364777903538197
85,1.0089747209567577,1.803872078889981,0.029436874494422227
86,1.0089747209567577,1.8101469851098955,0.02944891428342089
87,1.0089747209567577,1.8116631521843374,0.02947929874062538
88,1.0089747209567577,1.8125748040620238,0.02947653067531064
89,1.0089747209567577,1.809502150863409,0.029501658806111664
90,1.0089747209567577,1.8109185087960213,0.02945779450237751
91,1.0089747209567577,1.8419770698528737,0.029472594731487334
92,1.0089747209567577,1.802585578057915,0.02942150621674955
93,1.0089747209567577,1.8176417048089206,0.029487658757716417
94,1.0089747209567577,1.8122464180923998,0.03123900998616591
95,1.0089747209567577,1.8099612570367754,0.02953664306551218
96,1.0089747209567577,1.8119311542250216,0.029492082772776484
97,1.0089747209567577,1.8072928618639708,0.029455834534019232
98,1.0089747209567577,1.8177572898566723,0.029330329969525337
99,1.0089747209567577,1.787946542026475,0.029322393995244056
100,1.0089747209567577,1.7836179158184677,0.029293402039911598
