query,num_centroids,searched_shard_ids,num_searched_shards,gpu_transfer_time,gpu_search_time,warmup_time,best_retrieved_ids,top_doc_shards
0,60,"[112, 175, 209, 227, 263, 382, 422, 468, 627, 645, 734, 821, 825, 846, 1092, 1106, 1116, 1125, 1176, 1262, 1415, 1515, 1557, 1682, 1686, 1696, 1697, 1705, 1954, 2015, 2027, 2065, 2260, 2273, 2421]",35,1.2106948173604906,0.11029156530275941,0.08989009033622486,"[350323743, 22367475, 350285757, 22359499, 22352964, 583617007, 596090569, 40490076, 596064850, 347651857]","[1125, 1125, 1125, 1125, 1125, 1125, 1125, 1125, 1125, 1125]"
1,60,"[80, 109, 385, 455, 672, 686, 707, 717, 734, 754, 824, 846, 880, 1019, 1093, 1113, 1152, 1169, 1186, 1391, 1408, 1415, 1532, 1686, 1693, 1696, 1961, 2027, 2039, 2090, 2154]",31,1.1867593578062952,0.08737396309152246,0.08486993230819222,"[598688458, 96761309, 317778513, 462536204, 128100141, 512290626, 467725477, 336524624, 544732844, 80310487]","[2154, 1961, 707, 1186, 2154, 686, 1186, 707, 1186, 1532]"
2,60,"[5, 10, 175, 210, 255, 382, 407, 413, 550, 564, 673, 746, 821, 892, 917, 1092, 1106, 1143, 1202, 1262, 1419, 1429, 1524, 1692, 1730, 1812, 1996, 2125, 2175, 2279, 2301, 2421, 2426]",33,0.971713428851217,0.09036652138456702,0.07186319082128731,"[97139517, 294043795, 8432815, 422118279, 184228786, 522340063, 58511679, 284206801, 284206802, 446094918]","[2301, 255, 382, 382, 1202, 2301, 1812, 1202, 5, 1262]"
3,60,"[63, 70, 201, 595, 625, 674, 811, 822, 875, 968, 1291, 1520, 1544, 1551, 1580, 1660, 1730, 1807, 1891, 2024, 2029, 2180]",22,0.8398390170186758,0.07163214217871428,0.08687835652381182,"[319976312, 473871456, 416180093, 533106488, 185862896, 409812650, 534845823, 3563663, 493543761, 545925259]","[822, 63, 63, 63, 2024, 1891, 822, 822, 1730, 63]"
4,60,"[10, 26, 93, 134, 175, 280, 286, 382, 550, 564, 786, 892, 898, 1032, 1113, 1178, 1179, 1262, 1278, 1296, 1532, 1618, 1692, 1696, 1713, 1990, 2088, 2105, 2188, 2279, 2377, 2421]",32,1.0171165661886334,0.0845766756683588,0.07402210323198233,"[492485126, 241046875, 74580447, 364526066, 196412165, 197645372, 345397440, 197750504, 6680367, 555283757]","[93, 93, 93, 93, 93, 93, 93, 93, 382, 93]"
5,60,"[109, 112, 187, 227, 352, 468, 560, 673, 692, 777, 880, 1106, 1143, 1145, 1155, 1218, 1225, 1292, 1495, 1686, 1749, 1961, 2000, 2027, 2065, 2124, 2130, 2273, 2421]",29,1.0222322987392545,0.10299579473212361,0.13348726993266108,"[516745818, 379513051, 379513049, 40647836, 98187521, 98341154, 147282989, 98187524, 268589670, 178798345]","[187, 227, 187, 227, 1143, 227, 1143, 227, 227, 227]"
6,60,"[20, 96, 164, 250, 258, 381, 470, 550, 745, 908, 968, 1025, 1027, 1106, 1114, 1183, 1346, 1556, 1692, 1694, 1744, 1749, 1772, 1780, 1946, 2095, 2175, 2194, 2226, 2329, 2426]",31,0.8257282362319529,0.08999064564704895,0.07850771276430497,"[223359640, 134921891, 306289225, 571246815, 473056010, 163594463, 578112746, 184462764, 400692308, 538022211]","[250, 1694, 1744, 1749, 1027, 250, 1744, 250, 2426, 2175]"
7,60,"[68, 111, 201, 283, 316, 373, 428, 484, 512, 523, 525, 636, 700, 769, 852, 876, 898, 915, 961, 979, 1003, 1053, 1059, 1065, 1068, 1099, 1192, 1281, 1355, 1552, 1565, 1618, 1701, 1916, 2052, 2140, 2156, 2306, 2321, 2346, 2378]",41,1.6750637162476778,0.13315319921821356,0.10301869585201508,"[422770906, 67019337, 159171799, 412000426, 66952640, 534620895, 152048176, 311568376, 272006514, 66961688]","[979, 1565, 2378, 523, 1565, 915, 1701, 2378, 1701, 1565]"
8,60,"[263, 267, 275, 362, 431, 645, 663, 664, 824, 888, 1063, 1125, 1176, 1179, 1257, 1478, 1505, 1682, 1697, 1705, 1961, 2065, 2135, 2260, 2380]",25,0.8605226930230856,0.06568526988849044,0.07310488691553474,"[327654649, 459540312, 67520733, 575997322, 180283059, 562193291, 305388418, 41178123, 30515188, 339438330]","[2065, 2065, 2065, 2065, 2065, 2065, 2065, 2065, 2065, 2065]"
9,60,"[56, 70, 84, 112, 131, 268, 275, 396, 407, 543, 554, 628, 682, 740, 775, 888, 1219, 1262, 1419, 1492, 1505, 1544, 1600, 1645, 1709, 1793, 1824, 1852, 2267, 2377]",30,0.8934346977621317,0.08781300578266382,0.08017388706405958,"[244047149, 407497946, 372337157, 244049389, 244048645, 372313030, 99048836, 237900005, 406973178, 191955329]","[1852, 1852, 1852, 682, 1852, 682, 1852, 682, 682, 1852]"
10,60,"[32, 76, 109, 112, 267, 275, 277, 402, 525, 560, 645, 664, 717, 741, 810, 824, 844, 846, 880, 1139, 1143, 1155, 1225, 1257, 1349, 1379, 1415, 1505, 1528, 1539, 1647, 1705, 1708, 1915, 1955, 1982, 2065, 2260, 2286, 2421]",40,1.4947391161695123,0.1250700270757079,0.09477713070809841,"[596989224, 177718168, 361359114, 219357708, 372868532, 95481281, 109100480, 45889684, 550289027, 457845149]","[810, 810, 2286, 2286, 2286, 76, 810, 2286, 76, 810]"
11,60,"[10, 255, 280, 286, 382, 443, 475, 566, 602, 618, 751, 754, 786, 804, 831, 901, 1065, 1068, 1296, 1434, 1483, 1514, 1833, 2029, 2072, 2171, 2279, 2377]",28,1.0081953103654087,0.08080082107335329,0.07664428328696106,"[316195675, 347961149, 127689114, 316205222, 335612984, 316205221, 326757395, 575814845, 13848649, 65052125]","[1434, 2072, 1434, 1434, 2072, 1434, 1434, 566, 1434, 1434]"
12,60,"[112, 258, 270, 368, 381, 446, 470, 550, 604, 746, 852, 917, 968, 1027, 1106, 1355, 1556, 1573, 1618, 1744, 1772, 2125, 2140, 2214, 2226, 2301, 2425]",27,0.7449596440419555,0.09796988870948553,0.10173568886670249,"[143285814, 150775094, 520909276, 559059925, 478916319, 583463400, 397182841, 568375067, 434553210, 267241506]","[2214, 2214, 1027, 2226, 1027, 2226, 2214, 1027, 2226, 1027]"
13,60,"[5, 10, 63, 70, 164, 175, 255, 263, 268, 293, 382, 618, 682, 758, 761, 821, 871, 892, 917, 968, 1042, 1194, 1196, 1262, 1276, 1288, 1544, 1573, 1600, 1608, 1618, 1644, 1675, 1730, 1886, 2029, 2082, 2098, 2180, 2301, 2426]",41,1.3200602713041008,0.11503802053630352,0.07466850435452127,"[42569015, 270017264, 53616989, 219464520, 553483903, 107532941, 439849310, 53616990, 441733403, 295166854]","[2098, 892, 892, 892, 1042, 892, 892, 892, 892, 892]"
14,60,"[63, 84, 164, 192, 257, 263, 268, 577, 588, 595, 625, 758, 811, 1111, 1262, 1329, 1544, 1551, 1645, 1730, 1848, 2082, 2180, 2258]",24,0.7591344532556832,0.06395242782309651,0.06492189087051277,"[2930195, 304291211, 5479281, 298156409, 435890273, 300724316, 214405047, 504375842, 531276114, 133995960]","[2258, 192, 1730, 192, 257, 192, 2258, 2258, 84, 2258]"
15,60,"[178, 249, 524, 639, 647, 658, 673, 1026, 1129, 1165, 1177, 1190, 1198, 1529, 1554, 1791, 1895, 1985, 2176]",19,0.5295517300255597,0.048058444168418646,0.06460893209288388,"[540834996, 425755668, 346415404, 400155932, 347682406, 548796299, 583527657, 236059986, 540791896, 318230608]","[1895, 1895, 1895, 1895, 1895, 1895, 1895, 1895, 1895, 1529]"
16,60,"[196, 528, 564, 766, 825, 1078, 1092, 1116, 1129, 1167, 1196, 1308, 1489, 1495, 1608, 1669, 1717, 1786, 1839, 2098, 2273]",21,0.6097323871217668,0.06350391311571002,0.07966680698362845,"[388372331, 477914499, 94283698, 313295416, 417756224, 81047150, 287698740, 413998749, 388567738, 84783145]","[1078, 1489, 1489, 564, 564, 1196, 564, 196, 1078, 1308]"
17,60,"[27, 32, 76, 187, 337, 421, 508, 664, 741, 844, 899, 1028, 1097, 1139, 1143, 1155, 1504, 1539, 1647, 1797, 1801, 1885, 1915, 1923, 1955, 1982, 2000, 2155, 2288, 2421]",30,0.9609838151372969,0.07948981318622828,0.08019229986239225,"[196567304, 37592602, 119007154, 529191060, 136475651, 138777038, 119958834, 125572012, 596950633, 551787285]","[1097, 741, 187, 1539, 844, 1097, 1097, 1097, 1097, 1097]"
18,60,"[47, 57, 92, 93, 174, 227, 340, 346, 368, 382, 446, 528, 543, 550, 564, 627, 651, 744, 781, 825, 846, 1078, 1116, 1129, 1257, 1262, 1287, 1495, 1557, 1682, 1686, 1738, 1763, 1985, 2071, 2154, 2178, 2206, 2260, 2385]",40,1.3129131658934057,0.11586899822577834,0.07861559622106143,"[265372681, 560067270, 278479542, 395074565, 251637110, 211326331, 34614699, 587245452, 174444878, 34620824]","[1287, 2206, 2206, 2206, 2206, 1287, 2206, 2206, 2206, 2206]"
